Année,Catégorie,Sous-catégorie,Valeur
2001,Dette publique extérieure,Dette publique bilaterale,2355.5
2002,Dette publique extérieure,Dette publique bilaterale,2629.2
2003,Dette publique extérieure,Dette publique bilaterale,2348.4
2004,Dette publique extérieure,Dette publique bilaterale,2158.1
2005,Dette publique extérieure,Dette publique bilaterale,2013.3
2006,Dette publique extérieure,Dette publique bilaterale,1884.3
2007,Dette publique extérieure,Dette publique bilaterale,1729.79
2008,Dette publique extérieure,Dette publique bilaterale,1658.2
2009,Dette publique extérieure,Dette publique bilaterale,3079.903
2010,Dette publique extérieure,Dette publique bilaterale,3093.72
2011,Dette publique extérieure,Dette publique bilaterale,3421.242
2012,Dette publique extérieure,Dette publique bilaterale,1914.676
2013,Dette publique extérieure,Dette publique bilaterale,576.728
2014,Dette publique extérieure,Dette publique bilaterale,653.794
2015,Dette publique extérieure,Dette publique bilaterale,749.763
2016,Dette publique extérieure,Dette publique bilaterale,1000.755
2017,Dette publique extérieure,Dette publique bilaterale,1216.669
2018,Dette publique extérieure,Dette publique bilaterale,1379.488
1970,Dette publique extérieure,Dette publique multilaterale,3.94
1971,Dette publique extérieure,Dette publique multilaterale,6.85
1972,Dette publique extérieure,Dette publique multilaterale,9.59
1973,Dette publique extérieure,Dette publique multilaterale,13.15
1974,Dette publique extérieure,Dette publique multilaterale,25.02
1975,Dette publique extérieure,Dette publique multilaterale,31.32
1976,Dette publique extérieure,Dette publique multilaterale,40.32
1977,Dette publique extérieure,Dette publique multilaterale,58.92
1978,Dette publique extérieure,Dette publique multilaterale,78.09
1979,Dette publique extérieure,Dette publique multilaterale,88.93
1980,Dette publique extérieure,Dette publique multilaterale,110.48
1981,Dette publique extérieure,Dette publique multilaterale,145.7
1982,Dette publique extérieure,Dette publique multilaterale,256.16
1983,Dette publique extérieure,Dette publique multilaterale,358.14
1984,Dette publique extérieure,Dette publique multilaterale,424.44
1985,Dette publique extérieure,Dette publique multilaterale,541.64
1986,Dette publique extérieure,Dette publique multilaterale,860.24
1987,Dette publique extérieure,Dette publique multilaterale,1006.56
1988,Dette publique extérieure,Dette publique multilaterale,910.68
1989,Dette publique extérieure,Dette publique multilaterale,976.44
1990,Dette publique extérieure,Dette publique multilaterale,975.96
1991,Dette publique extérieure,Dette publique multilaterale,1068.23
1992,Dette publique extérieure,Dette publique multilaterale,986.38
1993,Dette publique extérieure,Dette publique multilaterale,1007.27
1994,Dette publique extérieure,Dette publique multilaterale,2062.69
1995,Dette publique extérieure,Dette publique multilaterale,1946.64
1996,Dette publique extérieure,Dette publique multilaterale,1874.62
1997,Dette publique extérieure,Dette publique multilaterale,1926.82
1998,Dette publique extérieure,Dette publique multilaterale,2059.38
1999,Dette publique extérieure,Dette publique multilaterale,1938.29
2000,Dette publique extérieure,Dette publique multilaterale,2330.14
2001,Dette publique extérieure,Dette publique multilaterale,2380.48
2002,Dette publique extérieure,Dette publique multilaterale,2192.5
2003,Dette publique extérieure,Dette publique multilaterale,2012.7
2004,Dette publique extérieure,Dette publique multilaterale,1708.3
2005,Dette publique extérieure,Dette publique multilaterale,1556.7
2006,Dette publique extérieure,Dette publique multilaterale,1452.4
2007,Dette publique extérieure,Dette publique multilaterale,1303.62
2008,Dette publique extérieure,Dette publique multilaterale,1256.31
2009,Dette publique extérieure,Dette publique multilaterale,1262.026
2010,Dette publique extérieure,Dette publique multilaterale,1344.125
2011,Dette publique extérieure,Dette publique multilaterale,1486.747
2012,Dette publique extérieure,Dette publique multilaterale,668.16
2013,Dette publique extérieure,Dette publique multilaterale,766.061
2014,Dette publique extérieure,Dette publique multilaterale,883.262
2015,Dette publique extérieure,Dette publique multilaterale,1134.139
2016,Dette publique extérieure,Dette publique multilaterale,1321.061
2017,Dette publique extérieure,Dette publique multilaterale,1582.429
2018,Dette publique extérieure,Dette publique multilaterale,1878.184
1970,Dette publique extérieure,Dette envers la Banque mondiale,0
1971,Dette publique extérieure,Dette envers la Banque mondiale,0
1972,Dette publique extérieure,Dette envers la Banque mondiale,0
1973,Dette publique extérieure,Dette envers la Banque mondiale,0
1974,Dette publique extérieure,Dette envers la Banque mondiale,0.05
1975,Dette publique extérieure,Dette envers la Banque mondiale,0.29
1976,Dette publique extérieure,Dette envers la Banque mondiale,0.71
1977,Dette publique extérieure,Dette envers la Banque mondiale,1.65
1978,Dette publique extérieure,Dette envers la Banque mondiale,1.69
1979,Dette publique extérieure,Dette envers la Banque mondiale,1.6
1980,Dette publique extérieure,Dette envers la Banque mondiale,1.58
1981,Dette publique extérieure,Dette envers la Banque mondiale,2.04
1982,Dette publique extérieure,Dette envers la Banque mondiale,2.46
1983,Dette publique extérieure,Dette envers la Banque mondiale,2.84
1984,Dette publique extérieure,Dette envers la Banque mondiale,3.23
1985,Dette publique extérieure,Dette envers la Banque mondiale,3.29
1986,Dette publique extérieure,Dette envers la Banque mondiale,2.51
1987,Dette publique extérieure,Dette envers la Banque mondiale,2.15
1988,Dette publique extérieure,Dette envers la Banque mondiale,2.11
1989,Dette publique extérieure,Dette envers la Banque mondiale,2.24
1990,Dette publique extérieure,Dette envers la Banque mondiale,1.89
1991,Dette publique extérieure,Dette envers la Banque mondiale,10.7
1992,Dette publique extérieure,Dette envers la Banque mondiale,29.01
1993,Dette publique extérieure,Dette envers la Banque mondiale,31.92
1994,Dette publique extérieure,Dette envers la Banque mondiale,319.52
1995,Dette publique extérieure,Dette envers la Banque mondiale,405.73
1996,Dette publique extérieure,Dette envers la Banque mondiale,521.07
1997,Dette publique extérieure,Dette envers la Banque mondiale,642.23
1998,Dette publique extérieure,Dette envers la Banque mondiale,788.9
1999,Dette publique extérieure,Dette envers la Banque mondiale,837.19
2000,Dette publique extérieure,Dette envers la Banque mondiale,1354.83
2001,Dette publique extérieure,Dette envers la Banque mondiale,1435.81
2002,Dette publique extérieure,Dette envers la Banque mondiale,1338.72
2003,Dette publique extérieure,Dette envers la Banque mondiale,1303.9
2004,Dette publique extérieure,Dette envers la Banque mondiale,1189.5
2005,Dette publique extérieure,Dette envers la Banque mondiale,1204.5
2006,Dette publique extérieure,Dette envers la Banque mondiale,1014.1
2007,Dette publique extérieure,Dette envers la Banque mondiale,911.63
2008,Dette publique extérieure,Dette envers la Banque mondiale,885.1
2009,Dette publique extérieure,Dette envers la Banque mondiale,839.676
2010,Dette publique extérieure,Dette envers la Banque mondiale,864.359
2011,Dette publique extérieure,Dette envers la Banque mondiale,858.549
2012,Dette publique extérieure,Dette envers la Banque mondiale,59.016
2013,Dette publique extérieure,Dette envers la Banque mondiale,80.686
2014,Dette publique extérieure,Dette envers la Banque mondiale,83.603
2015,Dette publique extérieure,Dette envers la Banque mondiale,237.672
2016,Dette publique extérieure,Dette envers la Banque mondiale,324.818
2017,Dette publique extérieure,Dette envers la Banque mondiale,426.19
2018,Dette publique extérieure,Dette envers la Banque mondiale,542.924
1970,Dette publique extérieure,Utilisation des credits du FMI,0
1971,Dette publique extérieure,Utilisation des credits du FMI,0
1972,Dette publique extérieure,Utilisation des credits du FMI,0
1973,Dette publique extérieure,Utilisation des credits du FMI,0
1974,Dette publique extérieure,Utilisation des credits du FMI,3.29
1975,Dette publique extérieure,Utilisation des credits du FMI,2.8
1976,Dette publique extérieure,Utilisation des credits du FMI,6.49
1977,Dette publique extérieure,Utilisation des credits du FMI,4
1978,Dette publique extérieure,Utilisation des credits du FMI,7
1979,Dette publique extérieure,Utilisation des credits du FMI,6.04
1980,Dette publique extérieure,Utilisation des credits du FMI,13.64
1981,Dette publique extérieure,Utilisation des credits du FMI,117.02
1982,Dette publique extérieure,Utilisation des credits du FMI,175.95
1983,Dette publique extérieure,Utilisation des credits du FMI,255.47
1984,Dette publique extérieure,Utilisation des credits du FMI,278.25
1985,Dette publique extérieure,Utilisation des credits du FMI,298.82
1986,Dette publique extérieure,Utilisation des credits du FMI,228.18
1987,Dette publique extérieure,Utilisation des credits du FMI,181.55
1988,Dette publique extérieure,Utilisation des credits du FMI,151.46
1989,Dette publique extérieure,Utilisation des credits du FMI,117.91
1990,Dette publique extérieure,Utilisation des credits du FMI,117.42
1991,Dette publique extérieure,Utilisation des credits du FMI,104.8
1992,Dette publique extérieure,Utilisation des credits du FMI,70.77
1993,Dette publique extérieure,Utilisation des credits du FMI,61.89
1994,Dette publique extérieure,Utilisation des credits du FMI,182.16
1995,Dette publique extérieure,Utilisation des credits du FMI,213.02
1996,Dette publique extérieure,Utilisation des credits du FMI,257.14
1997,Dette publique extérieure,Utilisation des credits du FMI,262.62
1998,Dette publique extérieure,Utilisation des credits du FMI,379.9
1999,Dette publique extérieure,Utilisation des credits du FMI,381.45
2000,Dette publique extérieure,Utilisation des credits du FMI,328.49
2001,Dette publique extérieure,Utilisation des credits du FMI,287.12
2002,Dette publique extérieure,Utilisation des credits du FMI,290.63
2003,Dette publique extérieure,Utilisation des credits du FMI,232.8
2004,Dette publique extérieure,Utilisation des credits du FMI,166.4
2005,Dette publique extérieure,Utilisation des credits du FMI,118.7
2006,Dette publique extérieure,Utilisation des credits du FMI,87.9
2007,Dette publique extérieure,Utilisation des credits du FMI,92.03
2008,Dette publique extérieure,Utilisation des credits du FMI,95.7
2009,Dette publique extérieure,Utilisation des credits du FMI,143.044
2010,Dette publique extérieure,Utilisation des credits du FMI,186.38
2011,Dette publique extérieure,Utilisation des credits du FMI,299.83
2012,Dette publique extérieure,Utilisation des credits du FMI,393.146
2013,Dette publique extérieure,Utilisation des credits du FMI,457.241
2014,Dette publique extérieure,Utilisation des credits du FMI,540.408
2015,Dette publique extérieure,Utilisation des credits du FMI,592.77
2016,Dette publique extérieure,Utilisation des credits du FMI,617.193
2017,Dette publique extérieure,Utilisation des credits du FMI,708.17
2018,Dette publique extérieure,Utilisation des credits du FMI,780.319
1970,Dette publique extérieure,Service de la dette regle,11.1
1971,Dette publique extérieure,Service de la dette regle,12.33
1972,Dette publique extérieure,Service de la dette regle,14.51
1973,Dette publique extérieure,Service de la dette regle,15.93
1974,Dette publique extérieure,Service de la dette regle,27.56
1975,Dette publique extérieure,Service de la dette regle,27.83
1976,Dette publique extérieure,Service de la dette regle,43.01
1977,Dette publique extérieure,Service de la dette regle,66.13
1978,Dette publique extérieure,Service de la dette regle,89.22
1979,Dette publique extérieure,Service de la dette regle,125.14
1980,Dette publique extérieure,Service de la dette regle,183.84
1981,Dette publique extérieure,Service de la dette regle,249.75
1982,Dette publique extérieure,Service de la dette regle,311.58
1983,Dette publique extérieure,Service de la dette regle,301.01
1984,Dette publique extérieure,Service de la dette regle,282.32
1985,Dette publique extérieure,Service de la dette regle,267.09
1986,Dette publique extérieure,Service de la dette regle,277.25
1987,Dette publique extérieure,Service de la dette regle,173.45
1988,Dette publique extérieure,Service de la dette regle,136.07
1989,Dette publique extérieure,Service de la dette regle,126.36
1990,Dette publique extérieure,Service de la dette regle,142.67
1991,Dette publique extérieure,Service de la dette regle,174.37
1992,Dette publique extérieure,Service de la dette regle,147.96
1993,Dette publique extérieure,Service de la dette regle,161.65
1994,Dette publique extérieure,Service de la dette regle,384.67
1995,Dette publique extérieure,Service de la dette regle,384.88
1996,Dette publique extérieure,Service de la dette regle,434.89
1997,Dette publique extérieure,Service de la dette regle,463.62
1998,Dette publique extérieure,Service de la dette regle,522.58
1999,Dette publique extérieure,Service de la dette regle,610.64
2000,Dette publique extérieure,Service de la dette regle,270.6
2001,Dette publique extérieure,Service de la dette regle,255.4
2002,Dette publique extérieure,Service de la dette regle,440.3
2003,Dette publique extérieure,Service de la dette regle,159.6
2004,Dette publique extérieure,Service de la dette regle,114.2
2005,Dette publique extérieure,Service de la dette regle,55.59
2006,Dette publique extérieure,Service de la dette regle,58.53
2007,Dette publique extérieure,Service de la dette regle,119.01
2008,Dette publique extérieure,Service de la dette regle,404.1
2009,Dette publique extérieure,Service de la dette regle,130.354
2010,Dette publique extérieure,Service de la dette regle,367.43
2011,Dette publique extérieure,Service de la dette regle,78.726
2012,Dette publique extérieure,Service de la dette regle,140.663
2013,Dette publique extérieure,Service de la dette regle,144.97
2014,Dette publique extérieure,Service de la dette regle,176.04
2015,Dette publique extérieure,Service de la dette regle,263.98
2016,Dette publique extérieure,Service de la dette regle,333.03
2017,Dette publique extérieure,Service de la dette regle,539.009
2018,Dette publique extérieure,Service de la dette regle,600.492
1970,Dette publique extérieure,Principal du service de la dette regle,7.87
1971,Dette publique extérieure,Principal du service de la dette regle,8.12
1972,Dette publique extérieure,Principal du service de la dette regle,9.93
1973,Dette publique extérieure,Principal du service de la dette regle,9.88
1974,Dette publique extérieure,Principal du service de la dette regle,18.05
1975,Dette publique extérieure,Principal du service de la dette regle,15.94
1976,Dette publique extérieure,Principal du service de la dette regle,27.06
1977,Dette publique extérieure,Principal du service de la dette regle,40.88
1978,Dette publique extérieure,Principal du service de la dette regle,50.09
1979,Dette publique extérieure,Principal du service de la dette regle,74.71
1980,Dette publique extérieure,Principal du service de la dette regle,109.32
1981,Dette publique extérieure,Principal du service de la dette regle,143.55
1982,Dette publique extérieure,Principal du service de la dette regle,158.24
1983,Dette publique extérieure,Principal du service de la dette regle,144.1
1984,Dette publique extérieure,Principal du service de la dette regle,94.09
1985,Dette publique extérieure,Principal du service de la dette regle,71.26
1986,Dette publique extérieure,Principal du service de la dette regle,94.27
1987,Dette publique extérieure,Principal du service de la dette regle,76.16
1988,Dette publique extérieure,Principal du service de la dette regle,74.67
1989,Dette publique extérieure,Principal du service de la dette regle,65.86
1990,Dette publique extérieure,Principal du service de la dette regle,86.8
1991,Dette publique extérieure,Principal du service de la dette regle,92.78
1992,Dette publique extérieure,Principal du service de la dette regle,83.34
1993,Dette publique extérieure,Principal du service de la dette regle,98.03
1994,Dette publique extérieure,Principal du service de la dette regle,220.48
1995,Dette publique extérieure,Principal du service de la dette regle,256.61
1996,Dette publique extérieure,Principal du service de la dette regle,266.31
1997,Dette publique extérieure,Principal du service de la dette regle,306.15
1998,Dette publique extérieure,Principal du service de la dette regle,224.23
1999,Dette publique extérieure,Principal du service de la dette regle,328.42
2000,Dette publique extérieure,Principal du service de la dette regle,166.8
2001,Dette publique extérieure,Principal du service de la dette regle,162.1
2002,Dette publique extérieure,Principal du service de la dette regle,327.4
2003,Dette publique extérieure,Principal du service de la dette regle,117.8
2004,Dette publique extérieure,Principal du service de la dette regle,101.7
2005,Dette publique extérieure,Principal du service de la dette regle,53.16
2006,Dette publique extérieure,Principal du service de la dette regle,56.35
2007,Dette publique extérieure,Principal du service de la dette regle,95.88
2008,Dette publique extérieure,Principal du service de la dette regle,314.5
2009,Dette publique extérieure,Principal du service de la dette regle,99.001
2010,Dette publique extérieure,Principal du service de la dette regle,279.056
2011,Dette publique extérieure,Principal du service de la dette regle,66.147
2012,Dette publique extérieure,Principal du service de la dette regle,81.424
2013,Dette publique extérieure,Principal du service de la dette regle,45.83
2014,Dette publique extérieure,Principal du service de la dette regle,55.7
2015,Dette publique extérieure,Principal du service de la dette regle,111.74
2016,Dette publique extérieure,Principal du service de la dette regle,156.08
2017,Dette publique extérieure,Principal du service de la dette regle,363.186
2018,Dette publique extérieure,Principal du service de la dette regle,372.459
2019,Dette publique extérieure,Principal du service de la dette regle
2020,Dette publique extérieure,Principal du service de la dette regle
1970,Dette publique extérieure,Interets,3.24
1971,Dette publique extérieure,Interets,4.21
1972,Dette publique extérieure,Interets,4.58
1973,Dette publique extérieure,Interets,6.05
1974,Dette publique extérieure,Interets,9.5
1975,Dette publique extérieure,Interets,11.89
1976,Dette publique extérieure,Interets,15.95
1977,Dette publique extérieure,Interets,25.25
1978,Dette publique extérieure,Interets,39.13
1979,Dette publique extérieure,Interets,50.44
1980,Dette publique extérieure,Interets,74.52
1981,Dette publique extérieure,Interets,106.2
1982,Dette publique extérieure,Interets,153.34
1983,Dette publique extérieure,Interets,156.91
1984,Dette publique extérieure,Interets,188.23
1985,Dette publique extérieure,Interets,195.83
1986,Dette publique extérieure,Interets,182.98
1987,Dette publique extérieure,Interets,97.29
1988,Dette publique extérieure,Interets,61.39
1989,Dette publique extérieure,Interets,60.51
1990,Dette publique extérieure,Interets,55.86
1991,Dette publique extérieure,Interets,81.59
1992,Dette publique extérieure,Interets,64.62
1993,Dette publique extérieure,Interets,63.62
1994,Dette publique extérieure,Interets,164.2
1995,Dette publique extérieure,Interets,128.27
1996,Dette publique extérieure,Interets,168.59
1997,Dette publique extérieure,Interets,157.47
1998,Dette publique extérieure,Interets,298.35
1999,Dette publique extérieure,Interets,282.22
2000,Dette publique extérieure,Interets,103.8
2001,Dette publique extérieure,Interets,93.3
2002,Dette publique extérieure,Interets,112.9
2003,Dette publique extérieure,Interets,41.8
2004,Dette publique extérieure,Interets,12.5
2005,Dette publique extérieure,Interets,2.43
2006,Dette publique extérieure,Interets,2.18
2007,Dette publique extérieure,Interets,23.13
2008,Dette publique extérieure,Interets,89.6
2009,Dette publique extérieure,Interets,31.353
2010,Dette publique extérieure,Interets,88.374
2011,Dette publique extérieure,Interets,12.579
2012,Dette publique extérieure,Interets,59.238
2013,Dette publique extérieure,Interets,99.14
2014,Dette publique extérieure,Interets,120.34
2015,Dette publique extérieure,Interets,152.24
2016,Dette publique extérieure,Interets,176.95
2017,Dette publique extérieure,Interets,175.822
2018,Dette publique extérieure,Interets,228.033
1970,Dette publique extérieure,Tirages,21.47
1971,Dette publique extérieure,Tirages,30.29
1972,Dette publique extérieure,Tirages,20.89
1973,Dette publique extérieure,Tirages,51.3
1974,Dette publique extérieure,Tirages,41.51
1975,Dette publique extérieure,Tirages,77.55
1976,Dette publique extérieure,Tirages,89.48
1977,Dette publique extérieure,Tirages,199
1978,Dette publique extérieure,Tirages,216.25
1979,Dette publique extérieure,Tirages,235.63
1980,Dette publique extérieure,Tirages,298.83
1981,Dette publique extérieure,Tirages,297.02
1982,Dette publique extérieure,Tirages,468.69
1983,Dette publique extérieure,Tirages,253.53
1984,Dette publique extérieure,Tirages,235.87
1985,Dette publique extérieure,Tirages,133.12
1986,Dette publique extérieure,Tirages,94.55
1987,Dette publique extérieure,Tirages,173.77
1988,Dette publique extérieure,Tirages,96.62
1989,Dette publique extérieure,Tirages,126.66
1990,Dette publique extérieure,Tirages,209.25
1991,Dette publique extérieure,Tirages,189.71
1992,Dette publique extérieure,Tirages,172.83
1993,Dette publique extérieure,Tirages,176.48
1994,Dette publique extérieure,Tirages,514.4
1995,Dette publique extérieure,Tirages,334.37
1996,Dette publique extérieure,Tirages,242.8
1997,Dette publique extérieure,Tirages,107.81
1998,Dette publique extérieure,Tirages,231.86
1999,Dette publique extérieure,Tirages,119.21
2000,Dette publique extérieure,Tirages,135.8
2001,Dette publique extérieure,Tirages,15.4
2002,Dette publique extérieure,Tirages,379.7
2003,Dette publique extérieure,Tirages,30.21
2004,Dette publique extérieure,Tirages,38.5
2005,Dette publique extérieure,Tirages,12.9
2006,Dette publique extérieure,Tirages,19.7
2007,Dette publique extérieure,Tirages,39.501
2008,Dette publique extérieure,Tirages,57.23
2009,Dette publique extérieure,Tirages,160.554
2010,Dette publique extérieure,Tirages,57.78
2011,Dette publique extérieure,Tirages,490.047
2012,Dette publique extérieure,Tirages,70.945
2013,Dette publique extérieure,Tirages,268.003
2014,Dette publique extérieure,Tirages,574.969
2015,Dette publique extérieure,Tirages,908.583
2016,Dette publique extérieure,Tirages,470.77
2017,Dette publique extérieure,Tirages,701.839
2018,Dette publique extérieure,Tirages,836
1970,Dette publique extérieure,Reechelonnements de la dette,0
1971,Dette publique extérieure,Reechelonnements de la dette,0
1972,Dette publique extérieure,Reechelonnements de la dette,0
1973,Dette publique extérieure,Reechelonnements de la dette,0
1974,Dette publique extérieure,Reechelonnements de la dette,0
1975,Dette publique extérieure,Reechelonnements de la dette,0
1976,Dette publique extérieure,Reechelonnements de la dette,0
1977,Dette publique extérieure,Reechelonnements de la dette,0
1978,Dette publique extérieure,Reechelonnements de la dette,0
1979,Dette publique extérieure,Reechelonnements de la dette,0
1980,Dette publique extérieure,Reechelonnements de la dette,0
1981,Dette publique extérieure,Reechelonnements de la dette,0
1982,Dette publique extérieure,Reechelonnements de la dette,0
1983,Dette publique extérieure,Reechelonnements de la dette,0
1984,Dette publique extérieure,Reechelonnements de la dette,0
1985,Dette publique extérieure,Reechelonnements de la dette,0
1986,Dette publique extérieure,Reechelonnements de la dette,0
1987,Dette publique extérieure,Reechelonnements de la dette,0
1988,Dette publique extérieure,Reechelonnements de la dette,0
1989,Dette publique extérieure,Reechelonnements de la dette,67.48
1990,Dette publique extérieure,Reechelonnements de la dette,253.12
1991,Dette publique extérieure,Reechelonnements de la dette,160.28
1992,Dette publique extérieure,Reechelonnements de la dette,105.67
1993,Dette publique extérieure,Reechelonnements de la dette,0
1994,Dette publique extérieure,Reechelonnements de la dette,358.34
1995,Dette publique extérieure,Reechelonnements de la dette,190.36
1996,Dette publique extérieure,Reechelonnements de la dette,161.03
1997,Dette publique extérieure,Reechelonnements de la dette,1524.61
1998,Dette publique extérieure,Reechelonnements de la dette,188.45
1999,Dette publique extérieure,Reechelonnements de la dette,41.06
2000,Dette publique extérieure,Reechelonnements de la dette,205.7
2001,Dette publique extérieure,Reechelonnements de la dette,209.7
2002,Dette publique extérieure,Reechelonnements de la dette,755.4
2003,Dette publique extérieure,Reechelonnements de la dette,90.8
2004,Dette publique extérieure,Reechelonnements de la dette,0
2005,Dette publique extérieure,Reechelonnements de la dette,0
2006,Dette publique extérieure,Reechelonnements de la dette,0
2007,Dette publique extérieure,Reechelonnements de la dette,0
2008,Dette publique extérieure,Reechelonnements de la dette,0
2009,Dette publique extérieure,Reechelonnements de la dette,0
2010,Dette publique extérieure,Reechelonnements de la dette,0
2011,Dette publique extérieure,Reechelonnements de la dette,248.557
2012,Dette publique extérieure,Reechelonnements de la dette,133.975
2013,Dette publique extérieure,Reechelonnements de la dette,0
2014,Dette publique extérieure,Reechelonnements de la dette,0
2015,Dette publique extérieure,Reechelonnements de la dette,0
2016,Dette publique extérieure,Reechelonnements de la dette,0
2017,Dette publique extérieure,Reechelonnements de la dette,0
2018,Dette publique extérieure,Reechelonnements de la dette,0
1970,Dette publique extérieure,Remise de dettes,0
1971,Dette publique extérieure,Remise de dettes,0
1972,Dette publique extérieure,Remise de dettes,0
1973,Dette publique extérieure,Remise de dettes,0
1974,Dette publique extérieure,Remise de dettes,0
1975,Dette publique extérieure,Remise de dettes,0
1976,Dette publique extérieure,Remise de dettes,0
1977,Dette publique extérieure,Remise de dettes,0
1978,Dette publique extérieure,Remise de dettes,0
1979,Dette publique extérieure,Remise de dettes,0
1980,Dette publique extérieure,Remise de dettes,0
1981,Dette publique extérieure,Remise de dettes,0
1982,Dette publique extérieure,Remise de dettes,0
1983,Dette publique extérieure,Remise de dettes,0
1984,Dette publique extérieure,Remise de dettes,0
1985,Dette publique extérieure,Remise de dettes,0
1986,Dette publique extérieure,Remise de dettes,0
1987,Dette publique extérieure,Remise de dettes,0
1988,Dette publique extérieure,Remise de dettes,0
1989,Dette publique extérieure,Remise de dettes,-9.19
1990,Dette publique extérieure,Remise de dettes,-13.64
1991,Dette publique extérieure,Remise de dettes,0
1992,Dette publique extérieure,Remise de dettes,0
1993,Dette publique extérieure,Remise de dettes,0
1994,Dette publique extérieure,Remise de dettes,-750.53
1995,Dette publique extérieure,Remise de dettes,-145.74
1996,Dette publique extérieure,Remise de dettes,-4.22
1997,Dette publique extérieure,Remise de dettes,-2270.73
1998,Dette publique extérieure,Remise de dettes,-60.61
